Сумма;;9796.0
Средний;;279.8857142857143
Высший;;628.0
Низший;;143.0

σ = ;;96.45199093135325;;σ -;среднеквадратическое отклонение (см)
δдоп =;;65.0086418877321;;δдоп -;допустимая погрешность прогноза (см)
Pк =;;51.42857143;;Pк -;климатическая обеспеченность в %
Pм =;;82.85714286;;Pм -;обеспеченность метода (допустимой погрешности проверочных прогнозов) в %
S =;;69.12032719925115;;S -;среднеквадратическая погрешность (см)
S/σ =;;0.7166293461836928;;S/σ -;критерий эффективности метода прогнозирования
(S/σ)^2 =;;0.513557619811667;;ρ -;корреляционное отношение
ρ =;;0.6974542136859831;;;(оценка эффективности метода прогнозирования)
Модель:;;Lars2;;δ50% -;погрешность (ошибка) прогнозов (см)
Сумма;;9796.0
Средний;;279.8857142857143
Высший;;628.0
Низший;;143.0

σ = ;;96.45199093135325;;σ -;среднеквадратическое отклонение (см)
δдоп =;;65.0086418877321;;δдоп -;допустимая погрешность прогноза (см)
Pк =;;51.42857143;;Pк -;климатическая обеспеченность в %
Pм =;;85.71428571;;Pм -;обеспеченность метода (допустимой погрешности проверочных прогнозов) в %
S =;;68.2997757895126;;S -;среднеквадратическая погрешность (см)
S/σ =;;0.7081219903290837;;S/σ -;критерий эффективности метода прогнозирования
(S/σ)^2 =;;0.5014367531876229;;ρ -;корреляционное отношение
ρ =;;0.7060901123881973;;;(оценка эффективности метода прогнозирования)
Модель:;;LassoLars_GridSearchCV;;δ50% -;погрешность (ошибка) прогнозов (см)
Сумма;;9796.0
Средний;;279.8857142857143
Высший;;628.0
Низший;;143.0

σ = ;;96.45199093135325;;σ -;среднеквадратическое отклонение (см)
δдоп =;;65.0086418877321;;δдоп -;допустимая погрешность прогноза (см)
Pк =;;51.42857143;;Pк -;климатическая обеспеченность в %
Pм =;;85.71428571;;Pм -;обеспеченность метода (допустимой погрешности проверочных прогнозов) в %
S =;;68.2997757895126;;S -;среднеквадратическая погрешность (см)
S/σ =;;0.7081219903290837;;S/σ -;критерий эффективности метода прогнозирования
(S/σ)^2 =;;0.5014367531876229;;ρ -;корреляционное отношение
ρ =;;0.7060901123881973;;;(оценка эффективности метода прогнозирования)
Модель:;;LassoLars_GridSearchCV;;δ50% -;погрешность (ошибка) прогнозов (см)
Сумма;;9796.0
Средний;;279.8857142857143
Высший;;628.0
Низший;;143.0

σ = ;;96.45199093135325;;σ -;среднеквадратическое отклонение (см)
δдоп =;;65.0086418877321;;δдоп -;допустимая погрешность прогноза (см)
Pк =;;51.42857143;;Pк -;климатическая обеспеченность в %
Pм =;;85.71428571;;Pм -;обеспеченность метода (допустимой погрешности проверочных прогнозов) в %
S =;;68.29973132438302;;S -;среднеквадратическая погрешность (см)
S/σ =;;0.7081215293211859;;S/σ -;критерий эффективности метода прогнозирования
(S/σ)^2 =;;0.5014361002881751;;ρ -;корреляционное отношение
ρ =;;0.7060905747224112;;;(оценка эффективности метода прогнозирования)
Модель:;;ElasticNet_GridSearchCV;;δ50% -;погрешность (ошибка) прогнозов (см)
