year;d_0;S_2802;Smax;d_smax;H;H_max;d_hmax;X;X1;X2;X3;X4;Xs;y5;y6
1977;12.12.1976;22;47;20.02.1977;158;281;18.04.1977;49;112;84;72;22;76;48;49
1978;28.11.1977;94;98;25.02.1978;180;311;23.03.1978;101;21;21;126;38;101;100;98
1979;02.12.1978;130;136;20.02.1979;246;494;05.04.1979;111;42;41;161;48;111;123;121
1980;08.12.1979;63;99;15.03.1980;164;357;11.04.1980;119;14;40;78;23;93;109;78
1981;31.10.1980;22;36;31.01.1981;180;293;11.03.1981;120;44;18;214;64;146;78;84
1982;02.12.1981;91;96;15.02.1982;179;269;17.03.1982;121;15;12;138;41;124;108;108
1983;03.02.1983;18;22;20.02.1983;194;292;02.04.1983;12;74;73;153;46;13;17;16
1984;29.11.1983;48;53;10.02.1984;142;249;02.04.1984;103;18;17;104;31;103;78;76
1985;11.11.1984;65;82;10.03.1985;162;362;06.04.1985;106;28;48;135;41;96;94;80
1986;15.11.1985;106;106;28.02.1986;164;354;05.04.1986;126;23;22;159;48;127;116;117
1987;08.12.1986;73;77;15.02.1987;155;361;07.04.1987;72;54;43;110;33;82;75;78
1988;05.12.1987;18;31;20.03.1988;164;394;03.04.1988;161;35;67;129;39;130;96;74
1989;27.11.1988;0;45;31.12.1988;157;187;02.03.1989;77;70;4;147;44;144;61;72
1991;16.12.1990;24;45;20.02.1991;179;245;25.03.1991;74;29;20;183;55;83;59;53
1992;05.12.1991;0;16;05.02.1992;247;223;05.03.1992;66;46;3;116;35;105;41;53
1993;30.12.1992;31;31;28.02.1993;101;252;25.03.1993;113;26;25;177;53;90;72;60
1994;10.11.1993;45;53;05.03.1994;219;392;19.03.1994;192;33;41;169;51;185;123;115
1995;14.12.1994;0;10;20.12.1994;174;231;10.03.1995;8;123;17;198;59;114;9;57
1996;03.11.1995;115;122;15.03.1996;180;345;22.04.1996;146;23;32;142;43;138;134;127
1999;09.11.1998;49;51;25.02.1999;194;370;05.04.1999;138;60;53;246;74;142;94;96
2001;19.12.2000;11;22;20.01.2001;210;198;20.03.2001;54;70;32;95;28;92;38;51
2003;30.11.2002;37;48;05.03.2003;169;264;15.03.2003;91;13;19;207;62;84;69;61
2004;31.12.2003;57;71;31.01.2004;179;341;30.03.2004;68;122;41;149;45;159;70;108
2005;16.01.2005;56;56;28.02.2005;184;254;05.04.2005;56;52;52;156;47;57;56;56
2006;19.11.2005;55;76;15.03.2006;182;346;14.04.2006;151;38;60;94;28;130;113;93
2007;23.01.2007;72;72;28.02.2007;249;286;07.03.2007;58;11;9;134;40;60;65;66
2008;22.12.2007;0;16;25.03.2008;136;199;08.03.2008;161;0;25;120;36;101;89;51
2009;13.12.2008;17;26;20.01.2009;155;214;10.04.2009;35;113;55;152;46;93;31;55
2010;11.12.2009;60;92;15.02.2010;242;379;02.04.2010;106;59;40;187;56;129;99;95
2011;27.11.2010;28;60;10.01.2011;209;224;10.04.2011;65;86;33;104;31;115;63;72
2012;14.01.2012;27;55;20.02.2012;155;254;15.03.2012;39;41;16;101;30;62;47;45
2013;02.12.2012;85;123;05.04.2013;134;363;26.04.2013;188;17;63;151;45;136;156;111
2015;24.11.2014;1;13;10.02.2015;122;181;09.03.2015;102;20;9;36;11;113;58;57
2017;03.01.2017;0;47;20.01.2017;195;275;11.03.2017;27;59;32;228;68;55;37;28
2018;08.01.2018;25;45;05.03.2018;177;252;10.04.2018;70;33;45;211;63;62;58;44
2019;21.11.2018;0;57;31.01.2019;168;205;18.03.2019;133;64;101;150;45;152;95;76
2021;06.12.2020;21;81;15.02.2021;125;218;04.03.2021;139;3;0;100;30;141;110;81
